position,name,school,year,time,split,position_change_in_split,points
1,Doris Lemngole,Alabama,SO,19:21.0,2:55.8,1,1
48,Ali Weimer,Minnesota,JR,20:10.5,3:27.0 | +49.5,15,36
49,Lucy Jenks,Georgetown,SR,20:11.4,3:20.9 | +50.4,2,37
50,Brooke Rauber,NC State,JR,20:12.4,3:17.0 | +51.4,9,38
51,Judy Kosgei,Clemson,SO,20:13.2,3:21.0 | +52.2,2,-1
52,Jenny Schilling,Virginia,JR,20:13.4,3:23.8 | +52.4,9,39
53,Kaiya Robertson,Boise State,SO,20:14.8,3:23.0 | +53.8,2,-1
54,Melissa Riggins,Georgetown,JR,20:15.4,3:18.4 | +54.4,7,40
55,Blezzin Kimutai,Tulane,FR,20:16.0,3:17.7 | +55.0,10,-1
56,Laura Mooney,Providence,SR,20:16.9,3:19.9 | +55.9,4,41
57,Bieke Schipperen,Florida State,SO,20:16.9,3:25.4 | +55.9,7,42
58,Riley Stewart,Stanford,JR,20:18.1,3:15.5 | +57.1,17,43
59,Maeve Stiles,Washington,JR,20:18.3,3:21.1 | +57.4,4,44
60,Keira Moore,Northern Arizona,SO,20:18.4,3:26.6 | +57.4,8,45
61,Rose Coats,Maryland,SO,20:18.5,3:25.8 | +57.5,6,-1
62,Mercy Kinyanjui,Toledo,FR,20:19.4,3:25.7 | +58.4,6,46
63,Tia Wilson,Florida,JR,20:19.9,3:19.3 | +58.9,7,47
64,Ashley Jones,Tennessee,JR,20:20.1,3:26.4 | +59.1,7,48
65,Carlee Hansen,BYU,SR,20:21.6,3:20.7 | +1:00.7,6,49
66,Zofia Dudek,Stanford,SR,20:21.7,3:24.6 | +1:00.7,4,50
67,Gladys Chepngetich,Clemson,SO,20:21.8,3:23.1 | +1:00.8,1,-1
68,Erin Vringer,Utah,SO,20:22.3,3:19.6 | +1:01.3,9,51
69,Emily Bryce,West Virginia,JR,20:22.7,3:20.9 | +1:01.8,4,52
70,Brooke Morabito,Central Connecticut,SR,20:23.5,3:19.2 | +1:02.5,13,-1
71,Maggi Congdon,Northern Arizona,SR,20:23.8,3:29.1 | +1:02.8,13,53
72,Victoria Lagat,Oklahoma State,FR,20:24.9,3:22.1 | +1:03.9,6,54
73,Julia David-Smith,Washington,JR,20:25.3,3:24.8 | +1:04.3,4,55
74,Klara Dess,New Mexico,SR,20:25.5,3:22.2 | +1:04.5,5,56
75,Mackenzie Barnett,Lipscomb,SR,20:25.9,3:19.2 | +1:04.9,12,57
76,Ali Bainbridge,Nebraska,SO,20:26.0,3:18.0 | +1:05.0,18,-1
77,Adelyn Fairley,Liberty,SR,20:26.0,3:18.7 | +1:05.0,12,-1
78,Sydney Thorvaldson,Arkansas,JR,20:26.5,3:26.2 | +1:05.5,10,58
79,Kaitlyn Hynes,Michigan State,JR,20:26.5,3:25.0 | +1:05.5,7,59
80,Aniya Mosley,Ohio State,JR,20:26.6,3:17.7 | +1:05.6,17,-1
81,Siona Chisholm,Notre Dame,SR,20:26.9,3:22.6 | +1:05.9,1,60
82,Mary Bonner Dalton,Notre Dame,FR,20:27.1,3:20.7 | +1:06.1,4,61
83,Nelah Roberts,BYU,FR,20:27.4,3:17.4 | +1:06.4,18,62
84,Alex Carlson,Northern Arizona,JR,20:27.7,3:25.1 | +1:06.7,8,63
85,Regina Mpigachai,Northern Colorado,JR,20:28.2,3:28.4 | +1:07.2,18,-1
86,Addison Dorenkamp,Alabama,FR,20:28.3,3:22.5 | +1:07.3,2,64
87,Pheline Cheruto,Alabama,FR,20:28.4,3:20.8 | +1:07.4,4,65
88,Taylor Lovell,BYU,JR,20:28.6,3:18.3 | +1:07.6,15,66
89,Madison Trippett,West Virginia,SR,20:29.0,3:19.4 | +1:08.0,10,67
90,Hayley Kitching,Penn State,SO,20:29.1,3:18.4 | +1:08.1,14,68
91,Natalie Bitetti,New Mexico,SR,20:29.3,3:21.8 | +1:08.3,1,69
92,Fatima Alanis,North Carolina,SR,20:30.0,3:22.2 | +1:09.0,-1,70
93,Emma Atkinson,Minnesota,SR,20:30.0,3:18.2 | +1:09.1,15,71
94,Madaline Ullom,Penn State,SR,20:30.3,3:16.8 | +1:09.3,21,72
95,Nikita Moore,Northern Arizona,JR,20:30.7,3:20.5 | +1:09.7,7,73
96,Angelina Napoleon,NC State,FR,20:31.0,3:22.8 | +1:10.0,1,74
97,Karrie Baloga,Northern Arizona,SO,20:31.1,3:32.9 | +1:10.1,33,75
98,Amina Maatoug,Washington,SR,20:31.1,3:17.0 | +1:10.2,19,76
99,Gwenno Goode,La Salle,SO,20:31.4,3:27.6 | +1:10.4,18,-1
100,Klaudia Kazimierska,Oregon,SR,20:31.8,3:12.7 | +1:10.8,31,77
101,Savannah Roark,Syracuse,SR,20:32.1,3:26.0 | +1:11.1,16,78
102,Jenna Zydanowicz,Connecticut,SR,20:32.6,3:23.3 | +1:11.6,4,-1
103,Maelle Porcher,Iowa State,JR,20:32.9,3:29.1 | +1:11.9,23,-1
104,Ali Ince,Oregon,FR,20:33.0,3:21.8 | +1:12.0,2,79
105,Daniella Santos,Ohio State,SR,20:33.6,3:23.9 | +1:12.6,5,-1
106,Emma Eastman,Syracuse,JR,20:33.7,3:21.4 | +1:12.7,6,80
107,Jessie Secor,Colorado,SO,20:34.4,3:21.5 | +1:13.4,7,-1
108,Bethan Morley,Florida,JR,20:34.4,3:27.4 | +1:13.4,20,81
109,Loral Winn,Ole Miss,SR,20:34.5,3:32.6 | +1:13.5,35,-1
110,Almi Nerurkar,Georgetown,JR,20:34.6,3:17.5 | +1:13.6,17,82
111,Lindsay Cunningham,Wisconsin,SR,20:36.6,3:23.1 | +1:15.6,5,83
112,Tatum David,Virginia,FR,20:37.6,3:20.8 | +1:16.6,12,84
113,India Weir,Washington,SR,20:37.6,3:25.3 | +1:16.6,-1,85
114,Charlotte Tomkinson,Georgetown,JR,20:37.8,3:18.2 | +1:16.8,20,86
115,Rylie Lusk,Syracuse,SR,20:37.9,3:21.6 | +1:16.9,7,87
116,Allison Wilson,Florida,SR,20:39.0,3:30.3 | +1:18.0,20,88
117,Kiara Smeltz,Lipscomb,SR,20:39.3,3:22.0 | +1:18.3,11,89
118,Tilly Simpson,New Mexico,JR,20:39.8,3:27.7 | +1:18.8,8,90
119,Julia Flynn,Stanford,SO,20:40.2,3:20.6 | +1:19.2,16,91
120,Mckaylie Caesar,Utah,SR,20:40.3,3:28.4 | +1:19.3,11,92
121,Lesley Green,Chattanooga,SR,20:40.5,3:26.4 | +1:19.5,3,-1
122,Eva Klingbeil,North Carolina,JR,20:40.7,3:22.4 | +1:19.7,8,93
123,Mena Scatchard,Princeton,SR,20:41.2,3:25.6 | +1:20.2,4,-1
124,Molly Malague,Harvard,JR,20:41.6,3:25.2 | +1:20.6,1,94
125,Erin Reidy,Minnesota,SR,20:42.0,3:13.9 | +1:21.0,44,95
126,Ciara O'Shea,North Carolina,FR,20:42.5,3:24.7 | +1:21.5,3,96
127,Wilma Nielsen,Oregon,SR,20:43.0,3:23.0 | +1:22.0,9,97
128,Anna Gardiner,Providence,FR,20:43.1,3:17.9 | +1:22.1,31,98
129,Kate Jortberg,Georgia Tech,SR,20:43.8,3:23.4 | +1:22.8,10,-1
130,Agnes McTighe,Florida State,JR,20:43.9,3:18.4 | +1:22.9,30,99
131,Laura Nicholson,Toledo,SR,20:43.9,3:19.0 | +1:22.9,25,100
132,Christina Nisoli,New Mexico,JR,20:44.0,3:33.1 | +1:23.0,27,101
133,Penelope Salmon,Harvard,JR,20:44.4,3:23.7 | +1:23.5,7,102
134,Colleen Stegmann,Oklahoma State,SO,20:45.1,3:25.0 | +1:24.1,3,103
135,Sophie O'Sullivan,Washington,SR,20:45.3,3:16.0 | +1:24.3,40,104
136,Barrett Justema,Georgetown,SO,20:45.4,3:23.2 | +1:24.4,11,105
137,Willow Collins,Gonzaga,JR,20:45.6,3:24.3 | +1:24.6,6,106
138,Lorena Rangel Batres,LSU,SR,20:45.6,3:34.1 | +1:24.6,31,-1
139,Eva Jess,Texas,SR,20:45.7,3:30.0 | +1:24.7,19,107
140,Brooke Mullins,Florida State,SR,20:45.9,3:24.4 | +1:24.9,4,108
141,Gretchen Farley,Notre Dame,SO,20:46.2,3:30.1 | +1:25.2,20,109
142,Annika Cutforth,Wisconsin,SO,20:46.4,3:29.4 | +1:25.4,17,110
143,Abby Loveys,Boston College,SR,20:46.6,3:26.4 | +1:25.6,5,111
144,Colbi Borland,Lipscomb,SR,20:46.6,3:27.1 | +1:25.6,11,112
145,Shea Ruhly,Wisconsin,SR,20:47.2,3:30.0 | +1:26.2,19,113
146,Bella Jacobsen,Wisconsin,SO,20:48.0,3:25.9 | +1:27.0,1,114
147,Morgan Jensen,Utah,SR,20:48.6,3:21.7 | +1:27.6,16,115
148,Nadia Phillips,Minnesota,SO,20:48.8,3:24.2 | +1:27.8,6,116
149,Izzy Roemer,Minnesota,SO,20:49.2,3:24.0 | +1:28.2,9,117
150,Sophia Toti,Penn State,SR,20:49.4,3:25.2 | +1:28.4,1,118
151,Gillian Bushee,Virginia,SO,20:49.6,3:26.2 | +1:28.6,3,119
152,Emily Paupore,Central Michigan,SR,20:49.7,3:28.7 | +1:28.7,10,-1
153,Claire Daniels,Penn State,SO,20:49.8,3:24.1 | +1:28.8,8,120
154,Selma Anderson,Syracuse,FR,20:49.9,3:18.2 | +1:28.9,25,121
155,Anna Petr,Colorado St.,SR,20:50.5,3:23.0 | +1:29.5,11,-1
156,Jillian Candelino,Tennessee,SO,20:51.3,3:25.0 | +1:30.3,6,122
157,Taylor Ewert,Michigan State,SR,20:51.6,3:27.8 | +1:30.6,8,123
158,Carolyn Shult,Wisconsin,SR,20:51.8,3:27.2 | +1:30.8,3,124
159,Mia Barnett,Oregon,JR,20:51.9,3:29.8 | +1:30.9,13,125
160,Bethany Michalak,NC State,FR,20:52.2,3:31.4 | +1:31.2,19,126
161,Josphine Mwaura,Oklahoma State,SO,20:52.4,3:44.6 | +1:31.4,68,127
162,Rebecca O'Keeffe,Tennessee,FR,20:52.6,3:23.2 | +1:31.6,14,128
163,Nora Gremban,Wisconsin,FR,20:52.7,3:28.5 | +1:31.7,11,129
164,Caroline Lyerly,Tennessee,SO,20:53.1,3:22.9 | +1:32.1,13,130
165,Mercy Kipchumba,Stephen F. Austin,FR,20:53.3,3:28.3 | +1:32.3,8,-1
166,Jessica Frydenlund,Gonzaga,SO,20:54.7,3:26.3 | +1:33.7,5,131
167,Camryn Menninger,Virginia,SR,20:55.1,3:27.4 | +1:34.1,-1,132
168,Logan St. John-Kletter,North Carolina,FR,20:55.3,3:35.9 | +1:34.3,36,133
169,Penelopea Gordon,Michigan,SO,20:55.8,3:31.6 | +1:34.8,19,-1
170,Harley Kletz,Lipscomb,SO,20:56.1,3:27.5 | +1:35.2,3,134
171,Olivia Pielemeier,Arkansas,FR,20:57.2,3:19.8 | +1:36.3,20,135
172,Olivia Howell,Texas,SR,20:57.8,3:13.5 | +1:36.9,37,136
173,Aoife Dunne,Boston College,SR,20:58.1,3:18.7 | +1:37.1,25,137
174,Caroline Wells,Florida,JR,20:58.8,3:30.6 | +1:37.8,4,138
175,Jade Rypkema,Gonzaga,SO,20:59.6,3:26.5 | +1:38.6,8,139
176,Elizabeth Barlow,Florida State,SR,20:59.8,3:27.5 | +1:38.8,6,140
177,Lilly Walters,Alabama,JR,21:00.5,3:33.5 | +1:39.5,13,141
178,Ella Gilson,Harvard,SR,21:01.3,3:26.8 | +1:40.3,8,142
179,Reagan Gilmore,Florida,FR,21:01.6,3:32.6 | +1:40.6,5,143
180,Zoe Cooper,Harvard,JR,21:01.8,3:29.8 | +1:40.8,1,144
181,Roshni Singh,Boston College,SR,21:01.9,3:29.9 | +1:40.9,1,145
182,Heidi Demeo,Syracuse,SR,21:02.8,3:35.5 | +1:41.8,17,146
183,Chloe Foerster,Washington,JR,21:04.0,3:27.7 | +1:43.0,5,147
184,Sophia McDonnell,New Mexico,SR,21:04.1,3:35.8 | +1:43.2,12,148
185,Madeline Heintz,Syracuse,JR,21:04.8,3:26.6 | +1:43.9,7,149
186,Cameron McConnell,Oklahoma State,SO,21:05.2,3:40.8 | +1:44.2,33,150
187,Abby Lewis,Boston College,FR,21:05.5,3:26.2 | +1:44.5,12,151
188,Leane Willemse,Wisconsin,JR,21:06.0,3:26.1 | +1:45.1,12,152
189,Ellie Brewer,Lipscomb,JR,21:07.0,3:29.7 | +1:46.0,1,153
190,Brianne Brewster,Minnesota,SR,21:07.1,3:24.5 | +1:46.1,14,154
191,Cate DeSousa,Virginia,SO,21:07.2,3:30.2 | +1:46.2,2,155
192,Linda Perez,Lipscomb,JR,21:07.7,3:33.6 | +1:46.7,7,156
193,Niamh O'Mahony,Providence,JR,21:07.8,3:26.2 | +1:46.8,10,157
194,Isabelle Schmitz,Minnesota,FR,21:08.0,3:37.6 | +1:47.0,16,158
195,Jaci Sievers,Tennessee,SO,21:08.2,3:29.4 | +1:47.2,1,159
196,Sophie Atkinson,Virginia,SR,21:08.3,3:40.3 | +1:47.3,28,160
197,Halle Hill,Illinois,SR,21:09.6,3:36.4 | +1:48.6,13,-1
198,Ruth Kimeli,Baylor,FR,21:09.9,3:31.2 | +1:48.9,3,-1
199,Nicola Hogg,Stanford,JR,21:10.3,3:31.1 | +1:49.3,2,161
200,Cara Laverty,Providence,SO,21:10.6,3:27.5 | +1:49.6,5,162
201,Logan Hofstee,Gonzaga,FR,21:11.0,3:30.2 | +1:50.0,1,163
202,Lilly Lavier,Oklahoma State,JR,21:11.5,3:26.5 | +1:50.5,9,164
203,Kate Putman,NC State,FR,21:12.1,3:31.9 | +1:51.1,2,165
204,Olivia Millen,Michigan State,JR,21:12.3,3:25.1 | +1:51.4,11,166
205,Lindsey Peters,Utah,JR,21:12.4,3:27.6 | +1:51.4,5,167
206,Reagan Riley,Notre Dame,FR,21:12.9,3:29.0 | +1:51.9,-1,168
207,Sydney Masciarelli,North Carolina,JR,21:13.0,3:37.4 | +1:52.0,20,169
208,Gabrielle Schmidt,Florida,FR,21:14.0,3:35.5 | +1:53.0,15,170
209,Rachel Sutliff,Tennessee,SR,21:14.3,3:35.7 | +1:53.3,15,171
210,Andie-Marie Jones,Tennessee,JR,21:14.4,3:30.1 | +1:53.4,2,172
211,Yasmine Abbes,Boston College,SR,21:16.6,3:24.4 | +1:55.6,14,173
212,Ella Borsheim,Washington,JR,21:17.0,3:32.8 | +1:56.0,5,174
213,Lou Trois,Toledo,SR,21:17.6,3:31.8 | +1:56.6,-1,175
214,Emily Covert,Notre Dame,SR,21:18.0,3:32.7 | +1:57.0,2,176
215,Sophia Lucki,Michigan State,JR,21:19.1,3:31.6 | +1:58.1,2,177
216,Anna Grabowski,Gonzaga,JR,21:19.4,3:25.7 | +1:58.4,11,178
217,Annelies Quinton,Harvard,JR,21:19.6,3:32.2 | +1:58.6,1,179
218,Marika Couture,Utah,FR,21:23.7,3:33.6 | +2:02.7,2,180
219,Katelyn Stewart-Barnett,Michigan State,JR,21:24.0,3:29.6 | +2:03.0,9,181
220,Alexi Fogo,Gonzaga,JR,21:24.2,3:29.3 | +2:03.2,9,182
221,Rebecca Bergnes,Florida State,SR,21:24.8,3:34.0 | +2:03.8,1,183
222,Emily Chaston,Utah,SR,21:25.0,3:33.9 | +2:04.0,2,184
223,Kate Dickman,Alabama,SO,21:25.2,3:38.5 | +2:04.2,9,185
224,Audrey DaDamio,Stanford,JR,21:25.5,3:30.3 | +2:04.5,6,186
225,Fiona Max,Georgetown,SR,21:25.9,3:35.1 | +2:04.9,2,187
226,Alexis Lamb,West Virginia,SO,21:26.2,3:36.9 | +2:05.2,8,188
227,Carmen Krawczynski Gonzalez,Lipscomb,JR,21:29.4,3:38.7 | +2:08.4,6,189
228,Elizabeth Pickett,Texas,JR,21:30.3,3:31.7 | +2:09.3,5,190
229,Molly Hudson,Boston College,SR,21:30.5,3:26.4 | +2:09.5,11,191
230,Sydni Wilkins,Texas,FR,21:30.9,3:30.6 | +2:09.9,6,192
231,Jinane Mahi,Oklahoma State,SO,21:32.6,3:40.1 | +2:11.6,5,193
232,Jami Reed,Alabama,SR,21:35.0,3:37.5 | +2:14.0,-1,194
233,Isabel Allori,Notre Dame,FR,21:35.2,3:45.1 | +2:14.2,14,195
234,Eleanor Kendell,Michigan State,SR,21:36.6,3:29.5 | +2:15.7,8,196
235,Allison Dougherty,Penn State,SO,21:37.3,3:40.4 | +2:16.3,4,197
236,Lily Flynn,Boston College,SR,21:37.8,3:39.0 | +2:16.8,2,198
237,Anastacia Gonzales,Arkansas,SO,21:38.2,3:37.5 | +2:17.2,-1,199
238,Morgan Hicks,Toledo,SR,21:38.8,3:36.4 | +2:17.8,-1,200
239,Ellaney Matarese,Harvard,SR,21:42.0,3:42.1 | +2:21.0,4,201
240,Lianna Surtz,Toledo,JR,21:45.1,3:42.6 | +2:24.1,1,202
241,Lea Hatcher,Penn State,SO,21:47.6,3:41.6 | +2:26.6,-1,203
242,Brighton Mooney,Texas,JR,21:51.2,3:37.2 | +2:30.2,2,204
243,Sophia Gorriaran,Harvard,SO,21:51.5,3:38.6 | +2:30.5,-1,205
244,Kyra Pretre,Texas,SR,21:57.5,3:41.6 | +2:36.5,1,206
245,Tiana LoStracco,Arkansas,SR,22:00.0,3:30.2 | +2:39.0,4,207
246,Melody Jebiwot,Toledo,FR,22:00.1,3:42.9 | +2:39.1,-1,208
247,Ellie Shea,NC State,FR,22:02.5,3:41.9 | +2:41.5,-1,209
248,Mackenzie Rogers,Arkansas,JR,22:05.8,3:43.7 | +2:44.8,-1,210
249,Addison Boyer,Florida State,FR,22:09.4,3:35.7 | +2:48.4,2,211
250,Alex Bauer,Toledo,JR,22:18.6,3:45.4 | +2:57.6,-1,212
251,Jayden Harberts,Syracuse,FR,22:19.7,3:43.6 | +2:58.7,1,213
252,Elizabeth Stockman,Texas,SR,22:28.9,3:43.4 | +3:07.9,2,214
253,Anna Sentner,Florida State,SR,22:32.3,3:55.0 | +3:11.3,-1,215
254,Sivan Auerbach,Oklahoma State,SR,23:00.1,5:47.9 | +3:39.1,143,216
-1,Tecla Lokrale,West Virginia,SO,,,-1,-1
